game_id,similar_games
346900,"[385770, 3910, 230050, 264200, 334230]"
350080,"[201810, 305620, 287450, 3920, 1200]"
355840,"[250400, 262410, 282440, 212070, 41000]"
359320,"[226860, 288470, 212630, 39680, 4780]"
363970,"[22300, 233290, 258520, 97330, 49470]"
367450,"[299360, 255710, 339610, 212160, 245620]"
377160,"[234630, 239070, 310560, 274170, 22300]"
380600,"[227940, 284160, 346110, 47870, 10090]"
383080,"[239140, 215080, 102600, 252410, 304050]"
385770,"[346900, 3910, 264200, 230050, 334230]"
386360,"[339280, 291550, 6370, 298240, 9900]"
389570,"[312990, 224480, 223710, 94400, 214340]"
391460,"[105450, 302830, 304050, 317360, 290080]"
391540,"[98800, 339800, 239030, 70400, 247080]"
